caption_clean,image+caption_target,political_leaning,likes,retweet_count,comment_count,view_count,poster_follower_count,poster_frequency,total_posts,mentions,hashtags,urls,Positive,Neutral,Negative,Compound,Persons,Organizations,Locations,Nationalities/religiious groups,Date,topic_label,image_filename,comment_file,Post ID,URL to tweet,creation_date,poster_handle,poster_display_name,toxicity,severe_toxicity,obscene,threat,insult,identity_attack,sexual_explicit
Don’t vote for #CommieKamala! #MAGA ,anti-harris,R,16,6,5,280,2334,101.29385474860337,90658,,"#CommieKamala!, #MAGA",,0.0,1.0,0.0,0.0,"['CommieKamala', 'MAGA']",[],[],[],[],Postive Trump Sentiment,Twitter_Scrape\Target_Harris\Anti\Images\red_flag.jpg,Twitter_Scrape\Target_Harris\Anti\Comments\red_flag.csv,1827905146027999298,https://x.com/jimmythemole001/status/1827905146027999298,Mon Aug 26 03:05:22 +0000 2024,jimmythemole001,"Michael P Ward, DO, Col, USAF (ret)",0.012786900624632835,0.0006966206128709018,0.0012264876859262586,0.001346380217000842,0.0065612890757620335,0.004361340310424566,0.0005942966672591865
I heard she might be boarding on the #TrumpTrain ? 🤔 What are your thoughts on? 🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸 $TRUMP for President. #Trump #Swifties4Trump #Trump2024 #UnityParty #MAGA #MAHA ,pro-trump,R,11,23,1,375,4565,2.3257142857142856,2442,,"#TrumpTrain, #Trump, #Swifties4Trump, #Trump2024, #UnityParty, #MAGA, #MAHA",,0.0,1.0,0.0,0.0,"['TrumpTrain', '🤔', '🇸', 'UnityParty', 'MAGA', 'MAHA']",['TRUMP'],[],[],"['🇺', '🇺', '🇺', '🇺', '🇺']",Postive Trump Sentiment,Twitter_Scrape\Target_Trump\Pro\Images\trump_taylor.jpg,,1828540317076988258,https://x.com/trumpsolanacoin/status/1828540317076988258,Tue Aug 27 21:09:18 +0000 2024,trumpsolanacoin,$TRUMP,0.010692929849028587,0.0005655718268826604,0.0010986545821651816,0.0009707336430437863,0.007888774387538433,0.0014464958803728223,0.0005491799674928188
RT if you agree: To all you #MAGA praising #TuckerCarlson's interview of American Enemy Russian Dictator Putin need to get the actual fuck out of this country and go live with Putin. We won't fucking miss you one bit. ,anti-trump,D,4859,1870,3945,253095,38379,15.715183509301156,62515,,"#MAGA, #TuckerCarlson's",,0.157,0.699,0.144,-0.0872,"['MAGA', 'TuckerCarlson', 'Putin', 'Putin']",[],[],"['American', 'Russian']",[],Negative Candaite Sentiment,Twitter_Scrape\Target_Trump\Anti\Images\trump_leash.jpg,Twitter_Scrape\Target_Trump\Anti\Comments\trump_leash.csv,1755385693151379739,https://x.com/Geo_Is_Pissed/status/1755385693151379739,Thu Feb 08 00:18:57 +0000 2024,Geo_Is_Pissed,🇺🇸 Geo Is Still Pissed 🥥🌴🇺🇸🌊🌈🏳️‍⚧️🌎🐾🗳,0.7981694936752319,0.11197447031736374,0.7446542978286743,0.020364539697766304,0.6602005958557129,0.10002519190311432,0.04403628036379814
"When America’s Hitler is trending, why you know its #Trump ",anti-trump,D,11,1,13,1903,380,7.028459273797841,7162,,#Trump,,0.0,1.0,0.0,0.0,"['Hitler', 'Trump']",[],['America'],[],[],Negative Candaite Sentiment,Twitter_Scrape\Target_Trump\Anti\Images\2025_nazi.jpg,Twitter_Scrape\Target_Trump\Anti\Comments\2025_nazi.csv,1835892011993543079,https://x.com/TrueZouse/status/1835892011993543079,Tue Sep 17 04:02:19 +0000 2024,TrueZouse,DocumentAmerica💙🌊🇺🇸🗽Amplifying Blue Voices,0.28721562027931213,0.00809916015714407,0.009980111382901669,0.003072162391617894,0.23493973910808563,0.04948938265442848,0.0019014703575521708
#TrumpIsACoward #TrumpIsAChicken #ChickenTrump #ChickenDon ,anti-trump,D,36,15,6,2239,7022,5.526227444397818,26338,,"#TrumpIsACoward, #TrumpIsAChicken, #ChickenTrump, #ChickenDon",,0.0,1.0,0.0,0.0,[],['ChickenDon'],[],[],[],Postive Trump Sentiment,Twitter_Scrape\Target_Trump\Anti\Images\trump_chicken.jpg,Twitter_Scrape\Target_Trump\Anti\Comments\trump_chicken.csv,1837809782125662425,https://x.com/BraidedImag6/status/1837809782125662425,Sun Sep 22 11:02:51 +0000 2024,BraidedImag6,The REAL BraidedImagination6,0.19418489933013916,0.004247413482517004,0.00699096592143178,0.001715160091407597,0.18054237961769104,0.008192053996026516,0.002798855071887374
 Coming to America under a Harris regime! ,anti-harris,R,1172,191,101,69406,846253,23.96586282492953,76523,@elonmusk,,,0.0,1.0,0.0,0.0,['Harris'],['Coming to America'],[],[],[],Negative Candaite Sentiment,Twitter_Scrape\Target_Harris\Anti\Images\harris_red_rally.png,Twitter_Scrape\Target_Harris\Anti\Comments\harris_red_rally.csv,1830657112231592314,https://x.com/ChuckCallesto/status/1830657112231592314,Mon Sep 02 17:20:42 +0000 2024,ChuckCallesto,Chuck Callesto,0.017984896898269653,0.0008477736846543849,0.0006296877982094884,0.0016117786290124059,0.00917997770011425,0.0032890615984797478,0.0005352925509214401
 Absolutely. ,anti-harris,R,1,1,0,37,6431,11.290813341135166,19296,@TruthorConseq12,,,0.0,1.0,0.0,0.0,[],[],[],[],[],Postive Trump Sentiment,Twitter_Scrape\Target_Harris\Anti\Images\communist_harris_extra.jpg,Twitter_Scrape\Target_Harris\Anti\Comments\communist_harris_extra.csv,1824907754462663049,https://x.com/BillCar79944600/status/1824907754462663049,Sat Aug 17 20:34:48 +0000 2024,BillCar79944600,Bill Carey 🇺🇸,0.004234536085277796,0.0005435243947431445,0.001170725212432444,0.001429109019227326,0.0023019197396934032,0.0015083553735166788,0.000895587436389178
Repost for some delicious lib tears 🤭✨ #MAGA2024 #MAGA #Trump. ,pro-trump,R,1791,158,69,18886,8528,22.4,3360,,"#MAGA2024, #MAGA, #Trump.",,0.272,0.588,0.14,0.4215,"['MAGA', 'Trump']",['Repost'],[],[],[],Postive Trump Sentiment,Twitter_Scrape\Target_Trump\Pro\Images\MAGA_hat_beach.jpg,Twitter_Scrape\Target_Trump\Pro\Comments\MAGA_hat_beach.csv,1854483772613255358,https://x.com/xoxoitsjanai/status/1854483772613255358,Thu Nov 07 11:19:20 +0000 2024,xoxoitsjanai,Janai Ramírez,0.4173227548599243,0.015820937231183052,0.02461232617497444,0.031546350568532944,0.34619832038879395,0.030247410759329796,0.010548499412834644
 Vote vote vote ,pro-trump,R,15,1,0,1320,5725,26.98701298701299,2078,@charliekirk11,,,0.0,1.0,0.0,0.0,[],[],[],[],[],Postive Trump Sentiment,Twitter_Scrape\Target_Trump\Pro\Images\flag_boat.jpg,Twitter_Scrape\Target_Trump\Pro\Comments\flag_boat.csv,1853834833551630842,https://x.com/LifeGodGunMemes/status/1853834833551630842,Tue Nov 05 16:20:41 +0000 2024,LifeGodGunMemes,Life God Gun Memes,0.004502644296735525,0.0005264504579827189,0.0011435732012614608,0.0014560399577021599,0.002332298317924142,0.001071324571967125,0.0008437116630375385
" #TamponTim will encourage it, #CommieKamala will cackle. ",anti-harris,R,3,0,0,42,757,1.187972919155715,5966,@iAnonPatriot,"#TamponTim, #CommieKamala",,0.355,0.645,0.0,0.5106,['CommieKamala'],['TamponTim'],[],[],[],Postive Trump Sentiment,Twitter_Scrape\Target_Harris\Anti\Images\harris_bomb_smile.jpg,Twitter_Scrape\Target_Harris\Anti\Comments\harris_bomb_smile.csv,1852668735481356519,https://x.com/avoura/status/1852668735481356519,Sat Nov 02 11:07:02 +0000 2024,avoura,Free Your Mind,0.12646916508674622,0.006409606896340847,0.005536594893783331,0.07104475796222687,0.05624096468091011,0.020358694717288017,0.004463144112378359
" Only children fear Obama, and for good reason 🤢 🤮 ",anti-harris,R,0,0,0,2,1122,6.529958677685951,6321,@RonFilipkowski,,,0.24,0.496,0.264,-0.0772,['Obama'],[],[],[],[],Postive Trump Sentiment,Twitter_Scrape\Target_Harris\Anti\Images\obama_handshake.jpg, N/A,1844644013497860403,https://x.com/MagikMike101/status/1844644013497860403/photo/1,Fri Oct 11 07:39:39 +0000 2024,MagikMike101,Magik Mike,0.051390595734119415,0.0012494880938902497,0.0014685754431411624,0.002471157116815448,0.03154302015900612,0.008458178490400314,0.0007887810352258384
 The free handouts from #HarrisWalz will continue until we have massive inflation AGAIN!!! ,anti-harris,R,9,3,0,168,3886,6.473338802296965,15782,@Hawkesbay69 @fundadorisback @FAFOtheFirst @JimOReilly1011 @MAGAMikey81 @Weston_102300 @janky_future @guster2022 @MaureenKea84577 @IMININC @liberaldetox @TheDreamBigUSA @BrentLeas @osteodoc01 @TheMozz2000 @SteveR0wlings @jlk4AU @JamesNewto134,#HarrisWalz,,0.258,0.742,0.0,0.6341,[],['HarrisWalz'],[],[],[],Politcal Social Network,Twitter_Scrape\Target_Harris\Anti\Images\handout.jpg,Twitter_Scrape\Target_Harris\Anti\Comments\handout.csv,1837988815660892510,https://x.com/prsGarfieldsHat/status/1837988815660892510/photo/1,Sun Sep 22 22:54:16 +0000 2024,prsGarfieldsHat,President Garfield fears the return of #Inflation,0.019307801499962807,0.0007494382443837821,0.0012493178946897388,0.0010664972942322493,0.011683150194585323,0.0013664456782862544,0.0010311660589650273
 Great MEME!! But let's also remember we support #TrumpVanceKennedy2024 bc we cannot afford more inflation. #KamalaHarris is trying to fight housing affordability with . . . more inflation! ,anti-harris,R,1,0,0,23,3886,6.473338802296965,15782,@jjnjpan,"#TrumpVanceKennedy2024, #KamalaHarris",,0.215,0.68,0.105,0.5538,['KamalaHarris'],[],[],[],[],Postive Trump Sentiment,Twitter_Scrape\Target_Harris\Anti\Images\inflation.jpg,,1837962207612854413,https://x.com/prsGarfieldsHat/status/1837962207612854413/photo/1,Sun Sep 22 21:08:32 +0000 2024,prsGarfieldsHat,President Garfield fears the return of #Inflation,0.005347223952412605,0.0004357702564448118,0.000984685611911118,0.0008489071042276919,0.003085649572312832,0.0009991797851398587,0.0006270392332226038
 Let's connect X FRIENDS IFBAP ,pro-trump,R,3,0,0,36,16110,47.17058823529412,16038,@tumaro17 @clark_kent10935,,,0.561,0.439,0.0,0.5904,[],[],[],[],[],Politcal Social Network,Twitter_Scrape\Target_Trump\Pro\Images\trump_washington_greet.jpg,Twitter_Scrape\Target_Trump\Pro\Comments\trump_washington_greet.csv,1865411522865881456,https://x.com/clark_kent10935/status/1865411522865881456/photo/1,Sat Dec 07 15:02:19 +0000 2024,clark_kent10935,Clark Kent,0.006131422705948353,0.0005527235916815698,0.0013515970204025507,0.0015023053856566548,0.002253606216982007,0.0009616168099455535,0.0016837447183206677
 Mew News: A militia formed in Springfield and has just left Ohio to go help protect #Trump. #MAGA #TrumpAssassinationAttempt2 #TrumpAssassinationAttempt #FightFightFight ,pro-trump,R,0,0,0,65,37047,0.4259504862953139,1927,@Nichole05507742,"#Trump., #MAGA, #TrumpAssassinationAttempt2, #TrumpAssassinationAttempt, #FightFightFight",,0.227,0.773,0.0,0.6486,"['Trump', 'MAGA']",['TrumpAssassinationAttempt2 #TrumpAssassinationAttempt'],"['Springfield', 'Ohio']",[],[],Postive Trump Sentiment,Twitter_Scrape\Target_Trump\Pro\Images\armed_cats.jpg,Twitter_Scrape\Target_Trump\Pro\Comments\armed_cats.csv,1835753725190897696,https://x.com/Rowdy_House/status/1835753725190897696,Mon Sep 16 18:52:49 +0000 2024,Rowdy_House,This is Rowdy House (IFBAP-ASAP),0.009722634218633175,0.0006408228073269129,0.001396857900545001,0.0020232065580785275,0.005110358353704214,0.001866471255198121,0.0005220555467531085
" He's talking about sending you into this war you and your warmonger buddies want to start, but I'm sure you think you're too privileged for that. ",anti-harris,R,1,0,0,62,2399,29.54486422668241,150147,@Liz_Cheney,,,0.232,0.614,0.154,0.3994,[],[],[],[],[],Voter readiness and mobilization,Twitter_Scrape\Target_Harris\Anti\Images\harris_war.jpg,Twitter_Scrape\Target_Harris\Anti\Comments\harris_war.csv,1852305500303691798,https://x.com/Tek_Roo/status/1852305500303691798/photo/1,Fri Nov 01 11:03:40 +0000 2024,Tek_Roo,Tek Roo 2028 🇺🇸,0.10111279785633087,0.004474902991205454,0.001813201466575265,0.05301564559340477,0.059381965547800064,0.009970495477318764,0.0013525087852030993
 Thanks Lloyd for the invite 👊🇺🇸🦅 Follow 👉 ,anti-harris,R,4,2,0,62,109909,106.53441682600382,111435,@lloydallred @JoeyT1010 @Hondamn1010 @bluefishspark @Merica197138 @MLilyjo @marijotrue @MAGA_Meme_Man @Florida_Daddy @lloydallred,,,0.474,0.526,0.0,0.5423,[],[],[],[],[],Voter readiness and mobilization,Twitter_Scrape\Target_Harris\Anti\Images\fossil.png,Twitter_Scrape\Target_Harris\Anti\Comments\fossil.csv,1868783202850292023,https://x.com/SChimamoto/status/1868783202850292023/photo/1,Mon Dec 16 22:20:10 +0000 2024,SChimamoto,shelby chimamoto🇺🇸🦅,0.004336730111390352,0.0005401094094850123,0.001175795798189938,0.0014960385160520673,0.0022400845773518085,0.0013494194718077779,0.0008857322973199189
🔴⚪🔵🔴⚪🔵🔴⚪🔵🔴⚪🔵 🔵WANT NEW FOLLOWERS? 🔴 🔴FOLLOW ME &amp; RETWEET🇺🇸⚪ ⚪REPLY WITH IFB 🔴🇺🇸⚪🇺🇸🔵 🔵I FOLLOW BACK ACTIVE 🇺🇸🔴 🔴FOLLOWERS!!🇺🇸🔴🇺🇸⚪🇺🇸⚪ ⚪#MAGA #Trump2024🔴🇺🇸⚪ 🔵#TRUMPTRAIN 🔴🇺🇸⚪🇺🇸🔵 ⚪FIGHT! 🇺🇸FIGHT!🇺🇸 FIGHT! 🔴 🔴⚪🔵🔴⚪🔵🔴⚪🔵🔴⚪🔵 ,pro-trump,R,175,78,172,4446,59211,31.096494272821936,89589,,#Trump2024🔴🇺🇸⚪,,0.144,0.752,0.104,0.3111,"['🇸', '🇸', '🇸', 'MAGA', '🇸', '🇸', '🇸', '🇸']","['⚪', '⚪REPLY', 'IFB', '⚪', '⚪FIGHT']",['⚪'],"['🇸', '🇸']",['🇺'],Postive Trump Sentiment,Twitter_Scrape\Target_Trump\Pro\Images\trump_light.jpg,Twitter_Scrape\Target_Trump\Pro\Comments\trump_light.csv,1852507866462355828,https://x.com/MrJOHNWICK2/status/1852507866462355828/photo/1,Sat Nov 02 00:27:47 +0000 2024,MrJOHNWICK2,MARK WICK🇺🇸,0.005992051213979721,0.0004428976681083441,0.0010983726242557168,0.0010480672353878617,0.0032933722250163555,0.0010702799772843719,0.0005440708482638001
😂😂😂😂😂😂😂😂😂😂😂😂 ,anti-harris,R,55,24,12,1084,59211,31.096494272821936,89589,,,,0.0,1.0,0.0,0.0,[],[],[],[],[],Postive Trump Sentiment,Twitter_Scrape\Target_Harris\Anti\Images\bite_collar.jpg,Twitter_Scrape\Target_Harris\Anti\Comments\bite_collar.csv,1852023379232281021,https://x.com/MrJOHNWICK2/status/1852023379232281021/photo/1,Thu Oct 31 16:22:37 +0000 2024,MrJOHNWICK2,MARK WICK🇺🇸,0.004963625222444534,0.0004991944297216833,0.0012134019052609801,0.0014400588115677238,0.0024452214129269123,0.000898869417142123,0.000953116687014699
Lying Kamala you are Fired ,anti-harris,R,30,8,4,628,59211,31.096494272821936,89589,,,,0.0,0.3,0.7,-0.7906,['Kamala'],[],[],[],[],Voter readiness and mobilization,Twitter_Scrape\Target_Harris\Anti\Images\crazy.jpg,Twitter_Scrape\Target_Harris\Anti\Comments\crazy.csv,1854057412594221332,https://x.com/MrJOHNWICK2/status/1854057412594221332/photo/1,Wed Nov 06 07:05:08 +0000 2024,MrJOHNWICK2,MARK WICK🇺🇸,0.6288250684738159,0.01969890296459198,0.03708793967962265,0.014821487478911877,0.5966928601264954,0.019195590168237686,0.004553075879812241
Lying Kamala will have to sleep with Ronald McDonald 😂😂😂😂 ,anti-harris,R,38,18,9,762,59211,31.096494272821936,89589,,,,0.0,0.726,0.274,-0.5267,"['Kamala', 'Ronald McDonald']",[],[],[],[],Voter readiness and mobilization,Twitter_Scrape\Target_Harris\Anti\Images\mcdonald.jpg,Twitter_Scrape\Target_Harris\Anti\Comments\mcdonald.csv,1855125567773065370,https://x.com/MrJOHNWICK2/status/1855125567773065370/photo/1,Sat Nov 09 05:49:36 +0000 2024,MrJOHNWICK2,MARK WICK🇺🇸,0.5611139535903931,0.022980336099863052,0.0194975845515728,0.043160710483789444,0.4904352128505707,0.016953015699982643,0.08375187963247299
🔴⚪🔵🔴⚪🔵🔴⚪🔵🔴⚪🔵 🔵WANT NEW FOLLOWERS? 🔴 🔴FOLLOW ME &amp; RETWEET🇺🇸⚪ ⚪REPLY WITH IFB 🔴🇺🇸⚪🇺🇸🔵 🔵I FOLLOW BACK ACTIVE 🇺🇸🔴 🔴FOLLOWERS!!🇺🇸🔴🇺🇸⚪🇺🇸⚪ ⚪#MAGA #Trump2024🔴🇺🇸⚪ 🔵#TRUMPTRAIN 🔴🇺🇸⚪🇺🇸🔵 ⚪FIGHT! 🔵 FIGHT🔵 FIGHT! 🔴 🔴⚪🔵🔴⚪🔵🔴⚪🔵🔴⚪🔵 ,pro-trump,R,237,110,219,6930,59211,31.096494272821936,89589,,#Trump2024🔴🇺🇸⚪,,0.144,0.752,0.104,0.3111,"['🇸', '🇸', '🇸', 'MAGA', '🇸', '🇸']","['⚪', '⚪REPLY', 'IFB', '⚪', '⚪FIGHT']",['⚪'],"['🇸', '🇸']",['🇺'],Postive Trump Sentiment,Twitter_Scrape\Target_Trump\Pro\Images\lincon.jpg,Twitter_Scrape\Target_Trump\Pro\Comments\lincon.csv,1855355629474377927,https://x.com/MrJOHNWICK2/status/1855355629474377927/photo/1,Sat Nov 09 21:03:47 +0000 2024,MrJOHNWICK2,MARK WICK🇺🇸,0.005692027043551207,0.00043462737812660635,0.0010724947787821293,0.0010195377981290221,0.003108609700575471,0.0010558189824223518,0.0005543908919207752
Our First Lady ,pro-trump,R,49,15,2,678,59211,31.096494272821936,89589,,,,0.0,1.0,0.0,0.0,[],[],[],[],[],Postive Trump Sentiment,Twitter_Scrape\Target_Trump\Pro\Images\1st_lady.jpg,Twitter_Scrape\Target_Trump\Pro\Comments\1st_lady.csv,1856373691002872044,https://x.com/MrJOHNWICK2/status/1856373691002872044/photo/1,Tue Nov 12 16:29:12 +0000 2024,MrJOHNWICK2,MARK WICK🇺🇸,0.004284721799194813,0.0004873549332842231,0.0010522222146391869,0.001154247554950416,0.002561367815360427,0.0010593871120363474,0.0008176689734682441
 I follow everyone back. United Patriots. Share and grow our network of patriotic friends. I love Jesus. ✅️✅️✅️ ✅️✅️✅️ #IFBAP 🇺🇸🇺🇸🇺🇸 ,pro-trump,R,1,0,0,19,12331,29.6340206185567,5749,@_AmaraL577 @AGuyOnTw_tter @EXCELLENTSALVIC @TomaisMac @TheFloridaMike @right_realDutch @bulldog_spirit2 @Eb67735B @ReaLtimes69 @CristalBr7 @emeraldTEC @OneTrueConsumer @momlifeinframes @827js @Vibes7363 @WhalenMona @rosejam181920 @bdonesem @Lord_God_Love,#IFBAP,,0.451,0.549,0.0,0.9062,"['Jesus', '️✅️✅️ ✅️✅️', '🇸']",['United Patriots'],[],[],"['🇺', '🇺']",Politcal Social Network,Twitter_Scrape\Target_Trump\Pro\Images\peanut_cheer.jpg,Twitter_Scrape\Target_Trump\Pro\Comments\peanut_cheer.csv,1854649344235868425,https://x.com/Lord_God_Love/status/1854649344235868425/photo/1,Thu Nov 07 22:17:16 +0000 2024,Lord_God_Love,Lord God,0.004890269599854946,0.0004631206684280187,0.0010050308192148805,0.0009607408428564668,0.002403549151495099,0.002367639448493719,0.0006947456276975572
